频带数,中心频率 (Hz),Wk_波峰因数*1000,Wk (dB),Wd_波峰因数*1000,Wd (dB),Wf_波峰因数*1000,Wf (dB),Wc_波峰因数*1000,Wc (dB),We_波峰因数*1000,We (dB),Wj_波峰因数*1000,Wj (dB)
-17,0.02,,,,,24.2,-32.33,,,,,,
-16,0.025,,,,,37.7,-28.48,,,,,,
-15,0.0315,,,,,59.7,-24.47,,,,,,
-14,0.04,,,,,97.1,-20.25,,,,,,
-13,0.05,,,,,157,-16.1,,,,,,
-12,0.063,,,,,267,-11.49,,,,,,
-11,0.08,,,,,461,-6.73,,,,,,
-10,0.1,31.2,-30.11,62.4,-24.09,695,-3.16,62.4,-24.11,62.5,-24.08,31,-30.18
-9,0.125,48.6,-26.26,97.3,-20.24,895,-0.96,97.2,-20.25,97.5,-20.22,48.3,-26.32
-8,0.16,79,-22.05,158,-16.01,1006,0.05,158,-16.03,159,-15.98,785,-22.11
-7,0.2,121,-18.33,243,-12.28,992,-0.07,243,-12.3,245,-12.23,120,-18.38
-6,0.25,182,-14.81,365,-8.75,854,-1.37,364,-8.78,368,-8.67,181,-14.86
-5,0.315,263,-11.6,530,-5.52,619,-4.17,527,-5.56,536,-5.41,262,-11.65
-4,0.4,352,-9.07,713,-2.94,384,-8.31,708,-3.01,723,-2.81,351,-9.1
-3,0.5,418,-7.57,853,-1.38,224,-13,843,-1.48,862,-1.29,417,-7.6
-2,0.63,459,-6.77,944,-0.5,116,-18.69,929,-0.64,939,-0.55,458,-6.78
-1,0.8,477,-6.43,992,-0.07,53,-25.51,972,-0.24,941,-0.53,478,-6.42
0,1,482,-6.33,1011,0.1,23.5,-32.57,991,-0.08,880,-1.11,484,-6.3
1,1.25,484,-6.29,1008,0.07,9.98,-40.02,1000,0,772,-2.25,485,-6.28
2,1.6,494,-6.12,968,-0.28,3.77,-48.47,1007,0.06,632,-3.99,483,-6.32
3,2,531,-5.49,890,-1.01,1.55,-56.19,1012,0.1,512,-5.82,482,-6.34
4,2.5,631,-4.01,776,-2.2,0.64,-63.93,1017,0.15,409,-7.77,489,-6.22
5,3.15,804,-1.9,642,-3.85,0.25,-71.96,1022,0.19,323,-9.81,524,-5.62
6,4,967,-0.29,512,-5.82,0.097,-80.26,1024,0.2,253,-11.93,628,-4.04
7,5,1039,0.33,409,-7.76,,,1013,0.11,202,-13.91,793,-2.01
8,6.3,1054,0.46,323,-9.81,,,974,-0.23,160,-15.94,946,-0.48
9,8,1036,0.31,253,-11.93,,,891,-1,125,-18.03,1017,0.15
10,10,988,-0.1,212,-13.91,,,776,-2.2,100,-19.98,1030,0.26
11,12.5,902,-0.89,161,-15.87,,,647,-3.79,80.1,-21.93,1026,0.22
12,16,768,-2.28,125,-18.03,,,512,-5.82,62.5,-24.08,1018,0.16
13,20,636,-3.93,100,-19.99,,,,,,,,
14,25,513,-5.8,80,-21.94,,,,,,,,
15,31.5,405,-7.86,63.2,-23.98,,,,,,,,
16,40,314,-10.05,49.4,-26.13,,,,,,,,
17,50,246,-12.19,38.8,-28.22,,,,,,,,
18,63,186,-14.61,29.5,-30.6,,,,,,,,
19,80,132,-17.56,21.1,-33.53,,,,,,,,
20,100,88.7,-21.04,14.1,-36.99,,,,,,,,
21,125,54,-25.35,8.63,-41.28,,,,,,,,
22,160,28.5,-30.91,4.55,-46.84,,,,,,,,
23,200,15.2,-36.38,2.43,-52.3,,,,,,,,
24,250,7.9,-42.04,1.26,-57.97,,,,,,,,
25,315,3.98,-48,0.64,-63.92,,,,,,,,
26,400,1.95,-54.2,0.31,-70.12,,,,,,,,
