中心频率 (Hz),卧室昼间一级限值 (dB),卧室夜间一级限值 (dB),卧室昼间二级限值 (dB),卧室夜间二级限值 (dB),起居室全天一级限值 (dB),起居室全天二级限值 (dB)
1,76,73,81,78,76,81
1.25,76,73,81,78,76,81
1.6,76,73,81,78,76,81
2,75,72,80,77,75,80
2.5,74,71,79,76,74,79
3.15,72,69,77,74,72,77
4,70,67,75,72,70,75
5,70,67,75,72,70,75
6.3,70,67,75,72,70,75
8,70,67,75,72,70,75
10,70,67,75,72,70,75
12.5,71,68,76,73,71,76
16,72,69,77,74,72,77
20,74,71,79,76,74,79
25,76,73,81,78,76,81
31.5,78,75,83,80,78,83
40,80,77,85,82,80,85
50,82,79,87,84,82,87
63,85,82,90,87,85,90
80,88,85,93,90,88,93
